9/30/2005,23:00,il,us,light,900,41.5852778,-87.8430556
9/30/2005,23:00,il,us,unknown,900,41.5852778,-87.8430556
9/30/2005,23:00,il,us,circle,7200,41.6302778,-87.8538889
9/30/2005,23:00,il,us,light,2700,41.6302778,-87.8538889
9/30/2005,23:00,il,us,light,2700,41.6302778,-87.8538889
9/30/2005,23:00,il,us,light,420,41.6302778,-87.8538889
9/30/2005,23:00,il,us,other,900,41.6302778,-87.8538889
9/30/2005,23:00,il,us,circle,900,41.5733333,-87.7844444
9/30/2005,23:00,il,us,light,1800,41.5733333,-87.7844444
9/30/2005,23:00,il,us,light,3600,41.5733333,-87.7844444
9/30/2005,23:00,il,us,light,600,41.5733333,-87.7844444
9/30/2005,23:00,il,us,light,900,41.5733333,-87.7844444
9/30/2005,23:00,il,us,triangle,1200,41.5733333,-87.7844444
9/30/2005,23:00,il,us,unknown,1800,41.5733333,-87.7844444
9/30/2005,23:10,il,us,light,1500,41.599289,-87.961718
9/30/2005,23:15,il,us,circle,1200,41.6027778,-87.7438889
9/30/2005,23:15,il,us,light,1800,41.6027778,-87.7438889
9/30/2005,23:15,il,us,sphere,600,41.6027778,-87.7438889
9/30/2005,23:15,il,us,formation,1500,41.6302778,-87.8538889
9/30/2005,23:15,il,us,light,900,41.7613889,-88.4436111
9/30/2005,23:15,il,us,unknown,900,41.5733333,-87.7844444
9/30/2005,23:18,il,us,circle,600,41.5733333,-87.7844444
9/30/2005,23:23,il,us,light,300,41.6680556,-87.7963889
9/30/2005,23:25,il,us,light,600,41.6302778,-87.8538889
9/30/2005,23:25,il,us,light,600,41.5733333,-87.7844444
9/30/2005,23:30,ab,ca,light,8,55.166667,-118.8
9/30/2005,23:30,il,us,circle,300,41.6027778,-87.7438889
9/30/2005,23:30,il,us,triangle,900,41.6302778,-87.8538889
9/30/2005,23:30,il,us,changing,1200,41.5733333,-87.7844444
9/30/2005,23:30,il,us,circle,1200,41.5733333,-87.7844444
9/30/2005,23:45,az,us,light,30,32.2216667,-110.9258333
9/30/2005,23:50,il,us,light,1200,41.6302778,-87.8538889
9/30/2006,01:00,hi,us,light,60,21.9811111,-159.3711111
9/30/2006,03:00,va,us,triangle,720,36.8255556,-79.3983333
9/30/2006,08:30,ca,us,light,1200,33.7669444,-118.1883333
9/30/2006,14:00,ak,us,disk,2700,61.2180556,-149.9002778
9/30/2006,14:30,ak,us,disk,1800,61.2180556,-149.9002778
9/30/2006,19:00,nm,us,unknown,2,35.0844444,-106.6505556
9/30/2006,19:00,oh,us,sphere,600,39.5030556,-82.0847222
9/30/2006,22:00,il,us,diamond,600,41.525,-88.0816667
9/30/2006,23:00,nm,us,triangle,3600,32.3122222,-106.7777778
9/30/2006,23:30,ut,us,teardrop,20,40.5,-111.95
9/30/2007,00:11,ga,us,flash,20,34.7697222,-84.9702778
