2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,Historical
2010,5,27,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical
2010,5,29,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,Holocene
2010,8,6,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical
2010,8,30,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2010,10,26,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2010,12,28,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,Historical
2011,1,3,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical
2011,1,28,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,Historical
2011,3,18,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical
2011,6,4,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,Holocene
2011,7,9,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical
2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,Historical
2011,12,27,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical
2012,2,10,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical
2012,3,2,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical
2012,12,12,Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,Historical
2013,2,12,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical
2013,2,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical
2013,5,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical
2013,8,10,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical
2013,9,1,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,Historical
2013,9,4,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical
2013,9,15,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2013,12,13,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical
2014,2,1,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2014,2,13,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical
2014,9,27,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,Historical
2014,11,10,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical
2014,11,23,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical
2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical
2015,2,20,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
