Afghanistan,38928346,60,18,25
Albania,2877797,105,36,63
Algeria,43851044,18,29,73
Andorra,77265,164,45,88
Antigua and Barbuda,97929,223,34,26
Argentina,45195774,17,32,93
Armenia,2963243,104,35,63
Aruba,106766,593,41,44
Australia,25499884,3,38,86
Austria,9006398,109,43,57
Azerbaijan,10139177,123,32,56
Bahamas,393244,39,32,86
Bahrain,1701575,2239,32,89
Bangladesh,164689383,1265,28,39
Barbados,287375,668,40,31
Belarus,9449323,47,40,79
Belgium,11589623,383,42,98
Belize,397628,17,24,46
Benin,12123200,108,19,48
Bhutan,771608,20,28,46
Bolivia,11673021,11,26,69
Bosnia and Herzegovina,3280819,64,43,52
Brazil,212559417,25,33,88
Brunei,437479,83,32,80
Bulgaria,6948445,64,45,76
Burkina Faso,20903273,76,18,31
Cabo Verde,554441,138,27.6,68
Cambodia,16718965,95,26,24
Cameroon,26545863,56,19,56
Canada,37742154,4,41,81
Central African Republic,37742154,8,18,43
Chad,16302699,13,16.6,23.3
Chile,19116201,26,35,85
Hong Kong,7496981,7140,45,100
China,1439323776,153,38,61
Colombia,50882891,46,31,80
Congo (Brazzaville),5518087,16,19,70
Congo (Kinshasa),89561403,40,17,46
Costa Rica,5094118,100,33,80
Cote d'Ivoire,26378274,83,19,51
Croatia,4105267,73,44,58
Cuba,11326616,106,42,78
Cyprus,1207359,131,37,67
Czechia,10708981,139,43,74
Denmark,5792202,137,42,88
Diamond Princess,3500,25,62,100
Djibouti,988000,43,27,79
Dominica,71986,96,33.5,74
Dominican Republic,10847910,225,28,85
Ecuador,17643054,71,28,63
Egypt,102334404,103,25,43
El Salvador,6486205,313,27.6,73.4
Equatorial Guinea,1402985,50,22,73
Eritrea,3546421,35,19.2,63.3
Estonia,1326535,31,42,68
Eswatini,1160164,67,21,30
Ethiopia,114963588,115,19,21
Faroe Islands,48873,35,38,88
Fiji,896445,49,27.9,59.1
Finland,5540720,18,43,86
France,65273511,119,42,82
French Guiana,298682,4,25,87
Gabon,2225734,9,23,87
Gambia,2416668,239,18,59
Georgia,3989167,57,38,58
Germany,83783942,240,46,76
Ghana,31072940,137,22,57
Greece,10423054,81,46,85
Grenada,112523,331,32,35.5
Greenland,56770,0,34,87
Guadeloupe,400124,237,44,96
Guam,168775,313,31,95
Guatemala,17915568,167,23,52
Guernsey,70000,965,44,86
Guinea,13132795,53,18,39
Guinea-Bissau,1968001,70,18.8,44.9
Guyana,786552,4,27,27
Haiti,11402528,414,24,56.9
Holy See,801,2003,40,100
Honduras,9904607,89,24,57
Hungary,9660351,107,43,72
Iceland,341243,3,37,94
India,1380004385,464,28,35
Indonesia,273523615,151,30,56
Iran,83992949,52,32,76
Iraq,40222493,93,21,73
Ireland,4937786,72,38,63
Israel,8655535,400,30,93
Italy,60461826,206,47,69
Jamaica,2961167,273,31,55
Japan,126476461,347,48,92
Jersey,106800,819,38,98
Jordan,10203134,115,24,91
Kazakhstan,18776707,7,31,58
Kenya,53771296,94,20,28
Kosovo,1810463,159,29,65
Kuwait,4270571,240,37,92
Kyrgyzstan,6524195,34,26,36
