8754,7775622,1,8580,2018,Free Solo
8755,1563742,3,8582,2018,Overboard
8756,4701182,3,8585,2018,Bumblebee
8757,4669788,3,8587,2018,On the Basis of Sex
8758,7125860,3,8588,2018,If Beale Street Could Talk
8759,6543652,3,8590,2018,Cold War
8760,7545524,3,8591,2018,Ben Is Back
8761,8286894,3,8596,2018,Rafiki
8764,3458510,3,8608,2018,Dude
8765,8075192,3,8611,2018,Shoplifters
8766,6776106,3,8612,2018,Andid edlilega (And Breathe Normally)
8768,3385524,3,8618,2018,Stan &amp; Ollie
8769,7959026,2,8626,2018,The Mule
8770,6061074,3,8630,2018,First Match
8771,8361028,3,8631,2018,Cam
8772,3525168,1,8635,2018,Dead in a Week: Or Your Money Back
8774,2368254,1,8651,2018,A private war
8775,5427194,3,8654,2018,The Miracle Season
8776,6205872,3,8656,2018,Assassination Nation
8777,2639336,3,8658,2018,Greta
8779,7401588,3,8661,2018,Instant Family
8780,5960374,3,8662,2018,Vox Lux
8781,6485304,3,8667,2018,Quien te cantara
8782,4532826,1,8671,2018,Robin Hood
8784,6140148,3,8678,2018,Bullitt County
8785,6987770,0,8683,2018,Destination Wedding
8787,7137380,3,8690,2018,Destroyer
8788,8327492,1,8708,2018,Tito e os Passaros
8789,8717590,3,8711,2018,My Little Pony Equestria Girls: Rollercoaster of Friendship
8790,7074886,2,8713,2018,The Front Runner
8791,5117428,3,8714,2018,Wild Rose
8792,7905466,0,8715,2018,They Shall Not Grow Old
8793,7250378,3,8718,2018,Say My Name
8794,5639446,1,8724,2018,Jonathan
8795,8108198,2,8730,2018,Andhadhun
8796,1259528,2,8733,2018,Den of thieves
8797,7689958,3,8734,2018,Jane Fonda in Five Acts
8798,7335184,3,8743,2018,You
8799,7098658,3,8754,2018,Raazi
8800,8900098,3,8757,2018,Deslembro
8802,7237666,3,8780,2018,The Honor List
8803,8287690,0,8785,2018,Genese
8804,6975598,3,8788,2018,Deep Murder
8805,7134690,3,8792,2018,I Like Me
8806,4867110,2,8797,2018,Swiped
8807,7636672,3,8802,2018,Float Like A Butterfly
8808,3208026,1,8803,2018,Black 47
8809,6859352,3,8809,2018,Support the Girls
8810,5314190,0,8822,2018,Sgt. Stubby: An American Hero
8811,7008872,1,8832,2018,Boy Erased
8812,6510332,0,8833,2018,McQueen
8813,6628394,2,8839,2018,Bad Times at the El Royale
8814,2126357,1,8851,2018,Second Act
8815,4477536,1,8858,2018,fifty shade freed
8816,4669296,0,8878,2018,Lords of Chaos
8817,3289724,2,8885,2018,Welcome to Marwen
8818,6781982,3,8890,2018,NIght School
8819,2690226,3,8921,2018,The Chaperone
8820,7464188,3,8931,2018,In Fabric
8821,8633950,3,8938,2018,Les invisibles
8822,7212726,1,8961,2018,Simmba
8823,1308728,3,8977,2018,The Happytime Murders
8824,6678876,3,9011,2018,Meio Irmao
8825,7317324,3,9012,2018,Egg
8826,8331988,3,9019,2018,La camarista
8827,6404896,2,9020,2018,Constantine: City of Demons
8828,3294746,3,9032,2018,The Public
8829,8479120,3,9061,2018,Agapornis
8830,5936578,3,9066,2018,Saints Rest
8833,5001754,3,9111,2018,Braven
8834,5952138,3,9116,2018,We Have Always Lived in the Castle
8835,5322168,3,9117,2018,Snapshots
8836,6204018,0,9125,2018,Ted - For karlekens skull
8837,4357394,3,9127,2018,Tau
8838,6164698,3,9129,2018,Hjartat
8839,7791048,0,9131,2018,Innan vintern kommer
8840,6889032,3,9132,2018,The Cake General
8841,7893992,3,9133,2018,Amatorer
