29,Russia,Anatoli Ivanishin,14/11/2011
30,United States of America,Daniel C. Burbank,21/12/2011
30,Russia,Anton Shkaplerov,21/12/2011
30,Russia,Anatoli Ivanishin,21/12/2011
30,Russia,Oleg Kononenko,21/12/2011
30,United States of America,Donald Pettit,21/12/2011
30,Netherlands,Andre Kuipers,21/12/2011
31,Russia,Oleg Kononenko,15/05/2012
31,United States of America,Donald Pettit,15/05/2012
31,Netherlands,Andre Kuipers,15/05/2012
31,Russia,Gennady Padalka,15/05/2012
31,Russia,Sergei Revin,15/05/2012
31,United States of America,Joseph M. Acaba,15/05/2012
32,Russia,Gennady Padalka,15/07/2012
32,Russia,Sergei Revin,15/07/2012
32,United States of America,Joseph M. Acaba,15/07/2012
32,United States of America,Sunita Williams,15/07/2012
32,Russia,Yuri Malenchenko,15/07/2012
32,Japan,Akihiko Hoshide,15/07/2012
33,United States of America,Sunita Williams,23/10/2012
33,Russia,Yuri Malenchenko,23/10/2012
33,Japan,Akihiko Hoshide,23/10/2012
33,United States of America,Kevin A. Ford,23/10/2012
33,Russia,Oleg Novitsky,23/10/2012
33,Russia,Evgeny Tarelkin,23/10/2012
34,United States of America,Kevin A. Ford,19/12/2012
34,Russia,Oleg Novitsky,19/12/2012
34,Russia,Evgeny Tarelkin,19/12/2012
34,Canada,Chris Hadfield,19/12/2012
34,Russia,Roman Romanenko,19/12/2012
34,United States of America,Thomas Marshburn,19/12/2012
35,Canada,Chris Hadfield,28/03/2013
35,Russia,Roman Romanenko,28/03/2013
35,United States of America,Thomas Marshburn,28/03/2013
35,Russia,Pavel Vinogradov,28/03/2013
35,Russia,Alexander Misurkin,28/03/2013
35,United States of America,Christopher Cassidy,28/03/2013
36,Russia,Pavel Vinogradov,28/05/2013
36,Russia,Alexander Misurkin,28/05/2013
36,United States of America,Christopher Cassidy,28/05/2013
36,Russia,Fyodor Yurchikhin,28/05/2013
36,United States of America,Karen Nyberg,28/05/2013
36,Italy,Luca Parmitano,28/05/2013
37,Russia,Fyodor Yurchikhin,25/09/2013
37,United States of America,Karen Nyberg,25/09/2013
37,Italy,Luca Parmitano,25/09/2013
37,Russia,Oleg Kotov,25/09/2013
37,Russia,Sergey Ryazansky,25/09/2013
37,United States of America,Michael S. Hopkins,25/09/2013
38,Russia,Oleg Kotov,06/11/2013
38,Russia,Sergey Ryazansky,06/11/2013
38,United States of America,Michael S. Hopkins,06/11/2013
38,Japan,Koichi Wakata,06/11/2013
38,Russia,Mikhail Tyurin,06/11/2013
38,United States of America,Richard Mastracchio,06/11/2013
39,Japan,Koichi Wakata,25/03/2014
39,Russia,Mikhail Tyurin,25/03/2014
39,United States of America,Richard Mastracchio,25/03/2014
39,Russia,Aleksandr Skvortsov,25/03/2014
39,Russia,Oleg Artemyev,25/03/2014
39,United States of America,Steven Swanson,25/03/2014
40,United States of America,Steven Swanson,28/05/2014
40,Russia,Aleksandr Skvortsov,28/05/2014
40,Russia,Oleg Artemyev,28/05/2014
40,United States of America,Gregory R. Wiseman,28/05/2014
40,Russia,Maksim Surayev,28/05/2014
40,Germany,Alexander Gerst,28/05/2014
41,Russia,Maksim Surayev,25/09/2014
41,United States of America,Gregory R. Wiseman,25/09/2014
41,Germany,Alexander Gerst,25/09/2014
41,Russia,Aleksandr Samokutyayev,25/09/2014
41,Russia,Yelena Serova,25/09/2014
41,United States of America,Barry E. Wilmore,25/09/2014
42,United States of America,Barry E. Wilmore,23/11/2014
42,Russia,Aleksandr Samokutyayev,23/11/2014
42,Russia,Yelena Serova,23/11/2014
42,Russia,Anton Shkaplerov,23/11/2014
42,Italy,Samantha Cristoforetti,23/11/2014
42,United States of America,Terry W. Virts,23/11/2014
43,United States of America,Terry W. Virts,27/03/2015
43,Russia,Anton Shkaplerov,27/03/2015
43,Italy,Samantha Cristoforetti,27/03/2015
43,Russia,Gennady Padalka,27/03/2015
43,Russia,Mikhail Kornienko,27/03/2015
43,United States of America,Scott Kelly,27/03/2015
44,Russia,Gennady Padalka,22/07/2015
44,Russia,Mikhail Kornienko,22/07/2015
44,United States of America,Scott Kelly,22/07/2015
44,Russia,Oleg Kononenko,22/07/2015
44,Japan,Kimiya Yui,22/07/2015
44,United States of America,Kjell N. Lindgren,22/07/2015
45,United States of America,Scott Kelly,02/09/2015
45,Russia,Mikhail Kornienko,02/09/2015
45,Russia,Oleg Kononenko,02/09/2015
45,Japan,Kimiya Yui,02/09/2015
45,United States of America,Kjell N. Lindgren,02/09/2015
45,Russia,Sergey Volkov,02/09/2015
46,United States of America,Scott Kelly,15/12/2015
46,Russia,Mikhail Kornienko,15/12/2015
46,Russia,Sergey Volkov,15/12/2015
46,Russia,Yuri Malenchenko,15/12/2015
46,United Kingdom,Tim Peake,15/12/2015
46,United States of America,Timothy Kopra,15/12/2015
47,United States of America,Timothy Kopra,18/03/2016
47,United Kingdom,Tim Peake,18/03/2016
47,Russia,Yuri Malenchenko,18/03/2016
47,Russia,Aleksey Ovchinin,18/03/2016
47,Russia,Oleg Skripochka,18/03/2016
47,United States of America,Jeffrey Williams,18/03/2016
48,United States of America,Jeffrey Williams,07/07/2016
48,Russia,Oleg Skripochka,07/07/2016
48,Russia,Aleksey Ovchinin,07/07/2016
48,Russia,Anatoli Ivanishin,07/07/2016
48,Japan,Takuya Onishi,07/07/2016
48,United States of America,Kathleen Rubins,07/07/2016
49,Russia,Anatoli Ivanishin,19/10/2016
49,Japan,Takuya Onishi,19/10/2016
49,United States of America,Kathleen Rubins,19/10/2016
49,United States of America,Shane Kimbrough,19/10/2016
49,Russia,Andrei Borisenko,19/10/2016
49,Russia,Sergey Ryzhikov,19/10/2016
50,United States of America,Shane Kimbrough,17/11/2016
50,Russia,Andrei Borisenko,17/11/2016
50,Russia,Sergey Ryzhikov,17/11/2016
50,United States of America,Peggy Whitson,17/11/2016
50,Russia,Oleg Novitskiy,17/11/2016
50,France,Thomas Pesquet,17/11/2016
51,Russia,Oleg Novitsky,20/04/2017
51,France,Thomas Pesquet,20/04/2017
51,United States of America,Peggy Whitson,20/04/2017
51,Russia,Fyodor Yurchikhin,20/04/2017
51,United States of America,Jack D. Fischer,20/04/2017
52,Russia,Fyodor Yurchikhin,28/07/2017
52,United States of America,Jack D. Fischer,28/07/2017
52,United States of America,Peggy Whitson,28/07/2017
52,United States of America,Randolph Bresnik,28/07/2017
52,Italy,Paolo Nespoli,28/07/2017
52,Russia,Sergey Ryazansky,28/07/2017
53,United States of America,Randolph Bresnik,12/09/2017
53,Italy,Paolo Nespoli,12/09/2017
53,Russia,Sergey Ryazansky,12/09/2017
53,Russia,Alexander Misurkin,12/09/2017
53,United States of America,Mark T. Vande Hei,12/09/2017
53,United States of America,Joseph M. Acaba,12/09/2017
54,Russia,Alexander Misurkin,17/12/2017
54,United States of America,Mark T. Vande Hei,17/12/2017
54,United States of America,Joseph M. Acaba,17/12/2017
54,Russia,Anton Shkaplerov,17/12/2017
54,United States of America,Scott D. Tingle,17/12/2017
54,Japan,Norishige Kanai,17/12/2017
55,Russia,Anton Shkaplerov,21/03/2018
55,United States of America,Scott D. Tingle,21/03/2018
55,Japan,Norishige Kanai,21/03/2018
55,United States of America,Andrew J. Feustel,21/03/2018
55,Russia,Oleg Artemyev,21/03/2018
55,United States of America,Richard R. Arnold,21/03/2018
56,United States of America,Andrew J. Feustel,06/06/2018
56,Russia,Oleg Artemyev,06/06/2018
56,United States of America,Richard R. Arnold,06/06/2018
56,Germany,Alexander Gerst,06/06/2018
56,Russia,Sergey Prokopyev,06/06/2018
56,United States of America,Serena Aunon-Chancellor,06/06/2018
57,Germany,Alexander Gerst,03/12/2018
57,Russia,Sergey Prokopyev,03/12/2018
57,United States of America,Serena Aunon-Chancellor,03/12/2018
57,Russia,Oleg Kononenko,03/12/2018
57,Canada,David Saint-Jacques,03/12/2018
57,United States of America,Anne McClain,03/12/2018
58,Russia,Oleg Kononenko,14/03/2019
58,Canada,David Saint-Jacques,14/03/2019
58,United States of America,Anne McClain,14/03/2019
59,Russia,Oleg Kononenko,14/03/2019
59,Canada,David Saint-Jacques,14/03/2019
59,United States of America,Anne McClain,14/03/2019
59,Russia,Aleksey Ovchinin,14/03/2019
59,United States of America,Nick Hague,14/03/2019
59,United States of America,Christina Koch,14/03/2019
60,Russia,Aleksey Ovchinin,20/07/2019
60,United States of America,Nick Hague,20/07/2019
60,United States of America,Christina Koch,20/07/2019
60,Russia,Aleksandr Skvortsov,20/07/2019
60,Italy,Luca Parmitano,20/07/2019
60,United States of America,Andrew R. Morgan,20/07/2019
61,Italy,Luca Parmitano,25/09/2019
61,Russia,Aleksandr Skvortsov,25/09/2019
61,United States of America,Christina Koch,25/09/2019
61,United States of America,Andrew R. Morgan,25/09/2019
61,Russia,Oleg Skripochka,25/09/2019
61,United States of America,Jessica Meir,25/09/2019
62,Russia,Oleg Skripochka,09/04/2020
62,United States of America,Jessica Meir,09/04/2020
62,United States of America,Andrew R. Morgan,09/04/2020
62,United States of America,Christopher Cassidy,09/04/2020
62,Russia,Anatoli Ivanishin,09/04/2020
62,Russia,Ivan Vagner,09/04/2020
63,United States of America,Christopher Cassidy,30/05/2020
63,Russia,Anatoli Ivanishin,30/05/2020
63,Russia,Ivan Vagner,30/05/2020
63,United States of America,Doug Hurley,30/05/2020
63,United States of America,Bob Behnken[24],30/05/2020
63,Russia,Sergey Ryzhikov,30/05/2020
63,Russia,Sergey Kud-Sverchkov,30/05/2020
63,United States of America,Kathleen Rubins,30/05/2020
64,Russia,Sergey Ryzhikov,16/11/2020
64,Russia,Sergey Kud-Sverchkov,16/11/2020
64,United States of America,Kathleen Rubins,16/11/2020
64,United States of America,Michael Hopkins,16/11/2020
64,United States of America,Victor Glover,16/11/2020
64,Japan,Soichi Noguchi,16/11/2020
64,United States of America,Shannon Walker,16/11/2020
64,Russia,Oleg Novitsky,16/11/2020
64,Russia,Pyotr Dubrov,16/11/2020
64,United States of America,Mark Vande Hei,16/11/2020
65,United States of America,Shannon Walker,23/04/2021
65,United States of America,Michael Hopkins,23/04/2021
65,United States of America,Victor Glover,23/04/2021
65,Japan,Soichi Noguchi,23/04/2021
65,Russia,Oleg Novitsky,23/04/2021
65,Russia,Pyotr Dubrov,23/04/2021
65,United States of America,Mark Vande Hei,23/04/2021
65,Japan,Akihiko Hoshide,23/04/2021
65,United States of America,Shane Kimbrough,23/04/2021
65,United States of America,K. Megan McArthur,23/04/2021
65,France,Thomas Pesquet,23/04/2021
65,Russia,Anton Shkaplerov,23/04/2021
